gy,gc,R_rate
0.01659436350597332,-0.0009669805366527839,1.0228
0.0007492040058245664,0.013734072944263431,1.022575
0.010430342278873184,0.010608698043039766,1.0213
0.0064641466198871456,0.023872721027611732,1.02165
0.012137625756039938,0.009821459337889138,1.024225
0.014325512831891984,0.01434194070837691,1.0249
0.0028048835266254457,0.0007408191681790299,1.0222
-0.004180358431760567,0.006117194627808686,1.018825
0.0224568972168413,0.012382926847390507,1.017875
0.02044551700711139,-0.0018711024170023904,1.0201500000000001
-0.016765821248345247,0.006998654762316647,1.0197
0.0,0.017361458278688957,1.02235
-0.003972315881412669,-0.0002538908790654659,1.022725
0.005283218406916035,0.000659982255204028,1.016925
0.025012084399701706,0.020246352325273165,1.011425
0.00960730757764594,0.004416551853161366,1.011125
0.007368734573653057,0.012058122821169803,1.0117
0.014741600882661743,0.007117120809329691,1.012025
0.009880881254826335,-0.000874720631141912,1.013425
0.02469526976560843,-0.00487354149463215,1.014875
-0.008914570472683181,0.01647403892924615,1.016775
0.004280370366171127,0.003741370442536862,1.01685
0.007128827339016652,-0.0060025631021254355,1.01665
-0.008731819934471474,0.00048153321101906954,1.01605
0.03191830291486397,0.017892125477775522,1.01465
-0.0017366740584918716,0.011425471634467499,1.014325
0.013425787584750992,0.0055944201853250775,1.0124
0.011326302376712505,-0.005734682476038699,1.012575
0.008442696855389897,0.02443370287256741,1.01455
0.01906571466081175,0.016382680746829692,1.014775
0.02141190355615663,0.013863417702140168,1.01475
0.0032723014690887453,0.01585487438141442,1.014575
0.004673297662041165,0.011092929418801134,1.0136
0.012261928264909017,0.011993633017535643,1.0128
0.015560868916260517,0.022690455913465968,1.013225
0.024781085982056084,0.022431231676730334,1.013725
0.00038556184776439295,-0.005264136536471398,1.014625
0.0008386505019117863,0.027959461196338964,1.0161
0.0025117397376632766,0.00839941546691847,1.0168
0.0019191480360092328,0.004094816336660756,1.01715
0.02464144640009991,0.021534629345687506,1.0176
0.0019128241967116821,0.0018825523741803352,1.017625
0.0006806978513438366,0.012662742141230865,1.018725
0.008741887522127456,0.007363386427467589,1.018875
-0.004558101779696955,-0.0009033424281881253,1.018675
0.018452466212629304,0.00832494401827688,1.018775
0.007418764717542103,0.015820125062699475,1.0191
0.00780806411105317,0.012166089084292508,1.019425
0.01345655388521294,0.008173348455155605,1.020325
0.010640494480707474,0.006175962179856498,1.021625
0.004610864264925851,0.004286333180683499,1.021925
-0.005601678671510513,0.01359409209716489,1.02205
-0.015023170605577008,-0.018059421823693356,1.021875
0.0002096260279351725,0.0015383242457644997,1.0205
-0.0002096260279351725,0.0,1.01575
-0.008252157222393919,-0.022376179841323562,1.009175
0.012498981107093243,0.019619828648380633,1.00725
0.006181016754712942,0.005790279956354283,1.006925
0.012310068333125201,0.011163796769270817,1.006975
0.011532555128354716,0.01086624313053619,1.0068
0.0051727737083915315,0.004868897425460261,1.0072
-0.014249129796116478,6.938421512003856e-05,1.00805
-0.011452194040813879,-0.0009718173748325398,1.007925
0.016956682873583873,0.008471550119967475,1.0075
0.009107346752482925,0.00979929721857431,1.006625
0.01109942675446618,0.01374801553393823,1.007075
0.00843217138387331,0.004061021506373663,1.006775
0.0015398589531443463,0.011489211750465245,1.00685
0.005959364272015932,-0.0006624490984528109,1.0066
0.005846083263801205,-6.62690523789422e-05,1.006625
0.011474995560817547,0.013199882236349936,1.0066
0.005305154201383999,0.011251053552324919,1.006625
-0.0038992394994785684,0.011765219769593216,1.0066
0.009595844597232173,0.004750299848129913,1.0066
0.005872811017944457,0.009811447234739035,1.0067
0.010968617912428869,0.00893604955573224,1.007375
0.004339050721846149,0.004950890528711227,1.00845
0.012481500302836679,0.013175746401692834,1.009225
0.012964602676138526,0.0031829616148648654,1.009175
0.007991272107137348,0.012812513980094309,1.0091
0.008572328280738617,0.010145058047552169,1.008725
0.013578809901069633,0.010900180689322525,1.007425
0.009994550231276378,0.013409235146685461,1.0071
0.009445601864261022,0.007173277742122508,1.006475
0.012268825762781432,0.026161709113544873,1.0059
0.0074967978725766216,0.01630144166232128,1.0057
0.0024244080131445855,0.010127157841601786,1.0052
0.01302128017538351,0.016689969355851986,1.004975
0.01303539625665806,0.007826512793066343,1.0049
0.00986636803002483,0.01174525786511893,1.004875
0.013064656146426046,0.013151854571933796,1.004775
0.009020783150113232,0.00817180864977729,1.00475
0.013049254113230546,0.013669046084537229,1.005025
-0.0009309738816298818,0.011186652136899511,1.004775
0.014808121099576965,0.01276174779514605,1.004875
0.00976704794778982,0.0013719647436829518,1.004725
0.004211632774051566,0.006039160945555011,1.004275
0.00849210119225674,0.011259743227938657,1.003275
0.0032039385709339285,0.003985578966172909,1.002875
